Succursale_Nom,Ville,Latitude,Longitude,Date_Ouverture,Succursale_ID
Saint-Georges de Beauce,Saint-Georges de Beauce,46.1333,-70.6667,2019-10-13,36
Saint-Hubert - Boul. des Promenades,Saint-Hubert,45.5000,-73.4000,2021-01-12,57
Saint-Hyacinthe,Saint-Hyacinthe,45.6333,-72.9500,2019-11-10,23
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,45.3167,-73.2667,2018-10-16,20
Saint-Jérôme,Saint-Jérôme,45.7833,-74.0000,2019-09-08,6
Saint-Nicolas,Saint-Nicolas,46.7000,-71.3000,2021-02-16,61
Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,46.0500,-74.2833,2019-07-21,5
Sainte-Anne-de-Beaupré,Sainte-Anne-de-Beaupré,47.0333,-70.9000,2020-11-30,52
Sainte-Julie,Sainte-Julie,45.5833,-73.3333,2025-01-20,2271
Sainte-Marie,Sainte-Marie,46.4500,-71.0333,2024-11-26,2270
Sainte-Thérèse,Sainte-Thérèse,45.6333,-73.8500,2021-01-28,60
Sept-Îles,Sept-Îles,50.2167,-66.3833,2020-08-20,44
Shawinigan-Sud,Shawinigan,46.5667,-72.7500,2019-10-27,26
Sherbrooke - Fleurimont,Sherbrooke,45.42833331100117,-71.86814167837373,2020-11-10,50
Sherbrooke - King Ouest,Sherbrooke,45.399030239863954,-71.91677627502216,2019-09-02,29
Sorel-Tracy,Sorel-Tracy,46.0333,-73.1167,2019-12-13,22
Terrebonne,Terrebonne,45.7000,-73.6333,2021-04-04,67
Thetford Mines,Thetford Mines,46.0833,-71.3000,2020-12-21,55
Trois-Rivières - Cap-de-la-Madeleine,Trois-Rivières,46.37388052080096,-72.5546157326284,2018-10-16,27
Trois-Rivières-Ouest,Trois-Rivières,46.32379095415307,-72.56293201728978,2024-05-11,2267
Val-d’Or,Val-d’Or,48.1000,-77.7833,2020-05-19,30
Valleyfield,Valleyfield,45.2500,-74.1333,2020-02-21,4
Varennes,Varennes,45.6833,-73.4333,2020-11-19,51
Vaudreuil-Dorion,Vaudreuil-Dorion,45.4000,-74.0333,2021-04-19,2195
Victoriaville,Victoriaville,46.0500,-71.9667,2021-01-31,59
Vieux-Montréal,Montréal,45.50646572026789,-73.55300127686347,2025-06-28,2276
Ville-Marie,Ville-Marie,47.3333,-79.4333,2021-07-05,2198
